Text,Video URL,Region,Label
0 (số không),https://qipedc.moet.gov.vn/videos/D0529.mp4?autoplay=true,,0_(số_không)
1,https://qipedc.moet.gov.vn/videos/D0530.mp4?autoplay=true,,1
1 000 000 (một triệu),https://qipedc.moet.gov.vn/videos/D0551B.mp4?autoplay=true,B,1_000_000_(một_triệu)B
1 000 000 (một triệu),https://qipedc.moet.gov.vn/videos/D0551T.mp4?autoplay=true,T,1_000_000_(một_triệu)T
1 000 000 (một triệu),https://qipedc.moet.gov.vn/videos/D0551N.mp4?autoplay=true,N,1_000_000_(một_triệu)N
1 000 000 000 (một tỉ),https://qipedc.moet.gov.vn/videos/D0552B.mp4?autoplay=true,B,1_000_000_000_(một_tỉ)B
1 000 000 000 (một tỉ),https://qipedc.moet.gov.vn/videos/D0552T.mp4?autoplay=true,T,1_000_000_000_(một_tỉ)T
1 000 000 000 (một tỉ),https://qipedc.moet.gov.vn/videos/D0552N.mp4?autoplay=true,N,1_000_000_000_(một_tỉ)N
10,https://qipedc.moet.gov.vn/videos/D0539.mp4?autoplay=true,,10
10 000 (mười nghìn),https://qipedc.moet.gov.vn/videos/D0550T.mp4?autoplay=true,T,10_000_(mười_nghìn)T
10 000 (mười nghìn),https://qipedc.moet.gov.vn/videos/D0550N.mp4?autoplay=true,N,10_000_(mười_nghìn)N
10 000 (mười nghìn),https://qipedc.moet.gov.vn/videos/D0550B.mp4?autoplay=true,B,10_000_(mười_nghìn)B
100,https://qipedc.moet.gov.vn/videos/D0547.mp4?autoplay=true,,100
1000 (một nghìn),https://qipedc.moet.gov.vn/videos/D0548N.mp4?autoplay=true,N,1000_(một_nghìn)N
11,https://qipedc.moet.gov.vn/videos/D0540T.mp4?autoplay=true,T,11T
11,https://qipedc.moet.gov.vn/videos/D0540N.mp4?autoplay=true,N,11N
11,https://qipedc.moet.gov.vn/videos/D0540B.mp4?autoplay=true,B,11B
12,https://qipedc.moet.gov.vn/videos/D0541B.mp4?autoplay=true,B,12B
12,https://qipedc.moet.gov.vn/videos/D0541N.mp4?autoplay=true,N,12N
12,https://qipedc.moet.gov.vn/videos/D0541T.mp4?autoplay=true,T,12T
2,https://qipedc.moet.gov.vn/videos/D0531.mp4?autoplay=true,,2
2 < 5 (Toán học),https://qipedc.moet.gov.vn/videos/D0299.mp4?autoplay=true,,2_<_5_(Toán_học)
2 < 6 (Toán học),https://qipedc.moet.gov.vn/videos/D0181.mp4?autoplay=true,,2_<_6_(Toán_học)
23,https://qipedc.moet.gov.vn/videos/D0542B.mp4?autoplay=true,B,23B
23,https://qipedc.moet.gov.vn/videos/D0542N.mp4?autoplay=true,N,23N
23,https://qipedc.moet.gov.vn/videos/D0542T.mp4?autoplay=true,T,23T
3,https://qipedc.moet.gov.vn/videos/D0532.mp4?autoplay=true,,3
33,https://qipedc.moet.gov.vn/videos/D0543T.mp4?autoplay=true,T,33T
33,https://qipedc.moet.gov.vn/videos/D0543N.mp4?autoplay=true,N,33N
4,https://qipedc.moet.gov.vn/videos/D0533.mp4?autoplay=true,,4
40,https://qipedc.moet.gov.vn/videos/D0544.mp4?autoplay=true,,40
5,https://qipedc.moet.gov.vn/videos/D0534.mp4?autoplay=true,,5
5 > 3 (Toán học),https://qipedc.moet.gov.vn/videos/D0180.mp4?autoplay=true,,5_>_3_(Toán_học)
5000 (năm nghìn),https://qipedc.moet.gov.vn/videos/D0549B.mp4?autoplay=true,B,5000_(năm_nghìn)B
5000 (năm nghìn),https://qipedc.moet.gov.vn/videos/D0549T.mp4?autoplay=true,T,5000_(năm_nghìn)T
6,https://qipedc.moet.gov.vn/videos/D0535N.mp4?autoplay=true,N,6N
6,https://qipedc.moet.gov.vn/videos/D0535B.mp4?autoplay=true,B,6B
6,https://qipedc.moet.gov.vn/videos/D0535T.mp4?autoplay=true,T,6T
7,https://qipedc.moet.gov.vn/videos/D0536.mp4?autoplay=true,,7
7up,https://qipedc.moet.gov.vn/videos/D0408.mp4?autoplay=true,,7up
8,https://qipedc.moet.gov.vn/videos/D0537.mp4?autoplay=true,,8
80,https://qipedc.moet.gov.vn/videos/D0545.mp4?autoplay=true,,80
9,https://qipedc.moet.gov.vn/videos/D0538.mp4?autoplay=true,,9
90,https://qipedc.moet.gov.vn/videos/D0546N.mp4?autoplay=true,N,90N
Albania (nước Albania),https://qipedc.moet.gov.vn/videos/D0012.mp4?autoplay=true,,Albania_(nước_Albania)
An Giang,https://qipedc.moet.gov.vn/videos/W00006.mp4?autoplay=true,,An_Giang
Anh (nước Anh),https://qipedc.moet.gov.vn/videos/W00009T.mp4?autoplay=true,T,Anh_(nước_Anh)T
Anh (nước Anh),https://qipedc.moet.gov.vn/videos/W00009B.mp4?autoplay=true,B,Anh_(nước_Anh)B
Anh (nước Anh),https://qipedc.moet.gov.vn/videos/W00009N.mp4?autoplay=true,N,Anh_(nước_Anh)N
Ba chân bốn cẳng,https://qipedc.moet.gov.vn/videos/W00065.mp4?autoplay=true,,Ba_chân_bốn_cẳng
Bra-xin (nước Bra-xin),https://qipedc.moet.gov.vn/videos/W00355B.mp4?autoplay=true,B,Bra-xin_(nước_Bra-xin)B
Bra-xin (nước Bra-xin),https://qipedc.moet.gov.vn/videos/W00355N.mp4?autoplay=true,N,Bra-xin_(nước_Bra-xin)N
Bra-xin (nước Bra-xin),https://qipedc.moet.gov.vn/videos/W00355T.mp4?autoplay=true,T,Bra-xin_(nước_Bra-xin)T
Bru-nây (nước Bru-nây),https://qipedc.moet.gov.vn/videos/W00356B.mp4?autoplay=true,B,Bru-nây_(nước_Bru-nây)B
Bru-nây (nước Bru-nây),https://qipedc.moet.gov.vn/videos/W00356N.mp4?autoplay=true,N,Bru-nây_(nước_Bru-nây)N
Bru-nây (nước Bru-nây),https://qipedc.moet.gov.vn/videos/W00356T.mp4?autoplay=true,T,Bru-nây_(nước_Bru-nây)T
Bun-ga-ri (nước Bun-ga-ri),https://qipedc.moet.gov.vn/videos/W00360.mp4?autoplay=true,,Bun-ga-ri_(nước_Bun-ga-ri)
Bà Nà,https://qipedc.moet.gov.vn/videos/W00067.mp4?autoplay=true,,Bà_Nà
Bà Rịa - Vũng Tàu,https://qipedc.moet.gov.vn/videos/W00068.mp4?autoplay=true,,Bà_Rịa_-_Vũng_Tàu
Bãi biển Vũng Tàu,https://qipedc.moet.gov.vn/videos/W00079.mp4?autoplay=true,,Bãi_biển_Vũng_Tàu
Bình Dương,https://qipedc.moet.gov.vn/videos/W00276.mp4?autoplay=true,,Bình_Dương
Bình Phước,https://qipedc.moet.gov.vn/videos/W00283.mp4?autoplay=true,,Bình_Phước
