Text,Video URL,Region,Label
số liền trước,https://qipedc.moet.gov.vn/videos/W02991.mp4?autoplay=true,,số_liền_trước
Bình Thuận,https://qipedc.moet.gov.vn/videos/W00285.mp4?autoplay=true,,Bình_Thuận
hiện đại,https://qipedc.moet.gov.vn/videos/W01587.mp4?autoplay=true,,hiện_đại
từ trái nghĩa,https://qipedc.moet.gov.vn/videos/W03714N.mp4?autoplay=true,N,từ_trái_nghĩaN
quả roi,https://qipedc.moet.gov.vn/videos/W02754T.mp4?autoplay=true,T,quả_roiT
đua thuyền,https://qipedc.moet.gov.vn/videos/W01316.mp4?autoplay=true,,đua_thuyền
làm quen,https://qipedc.moet.gov.vn/videos/W01925B.mp4?autoplay=true,B,làm_quenB
quả dừa xiêm,https://qipedc.moet.gov.vn/videos/W02733B.mp4?autoplay=true,B,quả_dừa_xiêmB
về (Sài Gòn),https://qipedc.moet.gov.vn/videos/D0158N.mp4?autoplay=true,N,về_(Sài_Gòn)N
quy định,https://qipedc.moet.gov.vn/videos/W02808.mp4?autoplay=true,,quy_định
Miến Điện (nước Mi-an-ma),https://qipedc.moet.gov.vn/videos/D0005T.mp4?autoplay=true,T,Miến_Điện_(nước_Mi-an-ma)T
hoa dâm bụt,https://qipedc.moet.gov.vn/videos/D0482.mp4?autoplay=true,,hoa_dâm_bụt
tưởng tượng,https://qipedc.moet.gov.vn/videos/W03732B.mp4?autoplay=true,B,tưởng_tượngB
chung tay,https://qipedc.moet.gov.vn/videos/D0411.mp4?autoplay=true,,chung_tay
bộ đội,https://qipedc.moet.gov.vn/videos/W00328T.mp4?autoplay=true,T,bộ_độiT
con cọp,https://qipedc.moet.gov.vn/videos/W00747N.mp4?autoplay=true,N,con_cọpN
phiên dịch,https://qipedc.moet.gov.vn/videos/W02651T.mp4?autoplay=true,T,phiên_dịchT
hình cầu,https://qipedc.moet.gov.vn/videos/W01601.mp4?autoplay=true,,hình_cầu
kỉ luật,https://qipedc.moet.gov.vn/videos/W01871.mp4?autoplay=true,,kỉ_luật
phích nước,https://qipedc.moet.gov.vn/videos/W02649.mp4?autoplay=true,,phích_nước
va li,https://qipedc.moet.gov.vn/videos/W03761.mp4?autoplay=true,,va_li
Lạc Long Quân,https://qipedc.moet.gov.vn/videos/W01914.mp4?autoplay=true,,Lạc_Long_Quân
thân thiện,https://qipedc.moet.gov.vn/videos/W03208.mp4?autoplay=true,,thân_thiện
thợ thêu,https://qipedc.moet.gov.vn/videos/W03309.mp4?autoplay=true,,thợ_thêu
con cá,https://qipedc.moet.gov.vn/videos/W00737N.mp4?autoplay=true,N,con_cáN
đánh trống,https://qipedc.moet.gov.vn/videos/W01113.mp4?autoplay=true,,đánh_trống
UNICEF,https://qipedc.moet.gov.vn/videos/W03744.mp4?autoplay=true,,UNICEF
Long An,https://qipedc.moet.gov.vn/videos/W02027.mp4?autoplay=true,,Long_An
